name	layer	type
PSMB10	transcriptomic	gene
IL6ST	transcriptomic	gene
PLCE1	transcriptomic	gene
RPP21	transcriptomic	gene
KLF9	transcriptomic	gene
CAPN7	transcriptomic	gene
GALK1	transcriptomic	gene
ZFP36	transcriptomic	gene
IFITM2	transcriptomic	gene
RNU12	transcriptomic	gene
DGKH	transcriptomic	gene
TAC1	transcriptomic	gene
SLC34A2	transcriptomic	gene
ARMC8	transcriptomic	gene
SCN7A	transcriptomic	gene
ATXN7	transcriptomic	gene
TFRC	transcriptomic	gene
CFB	transcriptomic	gene
KIF21A	transcriptomic	gene
YAF2	transcriptomic	gene
WDR91	transcriptomic	gene
SNX3	transcriptomic	gene
OXT	transcriptomic	gene
APRT	transcriptomic	gene
ERBB4	transcriptomic	gene
FASTKD2	transcriptomic	gene
DST	transcriptomic	gene
ARID4A	transcriptomic	gene
KCNA7	transcriptomic	gene
LTN1	transcriptomic	gene
RBL2	transcriptomic	gene
RGS10	transcriptomic	gene
ITLN1	transcriptomic	gene
PLXNA2	transcriptomic	gene
HBA1	transcriptomic	gene
TRPM7	transcriptomic	gene
HLA-DPB1	transcriptomic	gene
DUSP6	transcriptomic	gene
LGALS1	transcriptomic	gene
MYSM1	transcriptomic	gene
THOC2	transcriptomic	gene
KRR1	transcriptomic	gene
SLC22A7	transcriptomic	gene
SRSF10	transcriptomic	gene
GP2	transcriptomic	gene
TAS2R14	transcriptomic	gene
MBIP	transcriptomic	gene
UBE2G2	transcriptomic	gene
SLC34A3	transcriptomic	gene
ZMYM2	transcriptomic	gene
ATP11B	transcriptomic	gene
ATP1A1	transcriptomic	gene
RCAN3	transcriptomic	gene
SLPI	transcriptomic	gene
RHOB	transcriptomic	gene
TET2	transcriptomic	gene
IL10RA	transcriptomic	gene
GCDH	transcriptomic	gene
CTSV	transcriptomic	gene
SLC43A1	transcriptomic	gene
WFDC2	transcriptomic	gene
CAPN13	transcriptomic	gene
PTPRO	transcriptomic	gene
IL6R	transcriptomic	gene
KIF13B	transcriptomic	gene
DNAJB1	transcriptomic	gene
LY86	transcriptomic	gene
ESRRG	transcriptomic	gene
ZP2	transcriptomic	gene
FCER1A	transcriptomic	gene
DOCK5	transcriptomic	gene
PTPN4	transcriptomic	gene
NR1I3	transcriptomic	gene
ZNF727	transcriptomic	gene
REV1	transcriptomic	gene
CACNB4	transcriptomic	gene
ANKRD26	transcriptomic	gene
TLE4	transcriptomic	gene
GPR65	transcriptomic	gene
CD48	transcriptomic	gene
ATP6V1C2	transcriptomic	gene
CENPW	transcriptomic	gene
PTCD3	transcriptomic	gene
CA4	transcriptomic	gene
HLA-DQA1	transcriptomic	gene
HS6ST2	transcriptomic	gene
COPE	transcriptomic	gene
HBEGF	transcriptomic	gene
KDM7A	transcriptomic	gene
BRWD1	transcriptomic	gene
SLC22A13	transcriptomic	gene
CXCL6	transcriptomic	gene
PDE10A	transcriptomic	gene
KCNV2	transcriptomic	gene
FBXW11	transcriptomic	gene
DZIP3	transcriptomic	gene
