name	layer	type
CCDC17	transcriptomic	gene
CCDC171	transcriptomic	gene
CCDC183AS1	transcriptomic	gene
CCDC186	transcriptomic	gene
CCDC18AS1	transcriptomic	gene
CCDC191	transcriptomic	gene
CCDC71	transcriptomic	gene
CCDC97	transcriptomic	gene
CCL11	transcriptomic	gene
CCL14	transcriptomic	gene
CCL19	transcriptomic	gene
CCL2	transcriptomic	gene
CCL21	transcriptomic	gene
CCL22	transcriptomic	gene
CCL4L2	transcriptomic	gene
CCL5	transcriptomic	gene
CCN1	transcriptomic	gene
CCN2	transcriptomic	gene
CCNA2	transcriptomic	gene
CCND1	transcriptomic	gene
CCNH	transcriptomic	gene
CCNL1	transcriptomic	gene
CCS	transcriptomic	gene
CCSER1	transcriptomic	gene
CD151	transcriptomic	gene
CD163	transcriptomic	gene
CD164L2	transcriptomic	gene
CD180	transcriptomic	gene
CD1C	transcriptomic	gene
CD2	transcriptomic	gene
CD248	transcriptomic	gene
CD276	transcriptomic	gene
CD2BP2	transcriptomic	gene
CD320	transcriptomic	gene
CD37	transcriptomic	gene
CD3D	transcriptomic	gene
CD40	transcriptomic	gene
CD48	transcriptomic	gene
CD52	transcriptomic	gene
CD53	transcriptomic	gene
CD7	transcriptomic	gene
CD74	transcriptomic	gene
CD79A	transcriptomic	gene
CD99	transcriptomic	gene
CDC34	transcriptomic	gene
CDC42EP5	transcriptomic	gene
CDC42SE1	transcriptomic	gene
CDH20	transcriptomic	gene
CDHR5	transcriptomic	gene
CDIP1	transcriptomic	gene
CDIPT	transcriptomic	gene
CDK10	transcriptomic	gene
CDK2AP2	transcriptomic	gene
CDK4	transcriptomic	gene
CDKN2AIPNL	transcriptomic	gene
CDRT15P3	transcriptomic	gene
CEL	transcriptomic	gene
CELF5	transcriptomic	gene
CELSR2	transcriptomic	gene
CEMIP	transcriptomic	gene
CEMIP2	transcriptomic	gene
CENPB	transcriptomic	gene
CENPBD1P	transcriptomic	gene
CENPC	transcriptomic	gene
CENPM	transcriptomic	gene
CENPW	transcriptomic	gene
CENPX	transcriptomic	gene
CEP164	transcriptomic	gene
CEP19	transcriptomic	gene
CEP83	transcriptomic	gene
CEP95	transcriptomic	gene
CERNA2	transcriptomic	gene
CFAP157	transcriptomic	gene
CFAP44	transcriptomic	gene
CFAP57	transcriptomic	gene
CFAP70	transcriptomic	gene
CFAP90	transcriptomic	gene
CFB	transcriptomic	gene
CFH	transcriptomic	gene
CFLAR	transcriptomic	gene
CFLARAS1	transcriptomic	gene
CGA	transcriptomic	gene
CGNL1	transcriptomic	gene
CHASERR	transcriptomic	gene
CHCHD2	transcriptomic	gene
CHD1	transcriptomic	gene
CHD1L	transcriptomic	gene
CHD6	transcriptomic	gene
CHD9	transcriptomic	gene
CHDH	transcriptomic	gene
CHERP	transcriptomic	gene
CHI3L1	transcriptomic	gene
CHID1	transcriptomic	gene
CHMP3AS1	transcriptomic	gene
CHMP6	transcriptomic	gene
CHN2AS1	transcriptomic	gene
CHORDC1	transcriptomic	gene
CHORDC1P4	transcriptomic	gene
CHPF	transcriptomic	gene
CHPF2	transcriptomic	gene
CHST15	transcriptomic	gene
CIAO2B	transcriptomic	gene
CIB1	transcriptomic	gene
CIRBP	transcriptomic	gene
CISD3	transcriptomic	gene
CISH	transcriptomic	gene
CITED2	transcriptomic	gene
CKAP2	transcriptomic	gene
CKS2	transcriptomic	gene
CLASP1	transcriptomic	gene
CLDN3	transcriptomic	gene
CLDN4	transcriptomic	gene
CLEC18C	transcriptomic	gene
CLEC3B	transcriptomic	gene
CLEC4A	transcriptomic	gene
CLIC1	transcriptomic	gene
CLIP4	transcriptomic	gene
CLK1	transcriptomic	gene
CLK4	transcriptomic	gene
CLMN	transcriptomic	gene
CLN3	transcriptomic	gene
CLN6	transcriptomic	gene
CLNK	transcriptomic	gene
CLPP	transcriptomic	gene
CLUH	transcriptomic	gene
CLYBLAS3	transcriptomic	gene
CMAHP	transcriptomic	gene
CMTM3	transcriptomic	gene
CMTM7	transcriptomic	gene
CMYA5	transcriptomic	gene
CNN2	transcriptomic	gene
CNNM3	transcriptomic	gene
CNOT3	transcriptomic	gene
CNP	transcriptomic	gene
CNPPD1	transcriptomic	gene
CNPY3	transcriptomic	gene
CNTN4AS2	transcriptomic	gene
COA6	transcriptomic	gene
COASY	transcriptomic	gene
COBLL1	transcriptomic	gene
COL10A1	transcriptomic	gene
COL14A1	transcriptomic	gene
COL18A1	transcriptomic	gene
COL3A1	transcriptomic	gene
COL4A1	transcriptomic	gene
COL4A3	transcriptomic	gene
COL4A4	transcriptomic	gene
COL6A2	transcriptomic	gene
COL6A3	transcriptomic	gene
COMETT	transcriptomic	gene
COMT	transcriptomic	gene
COPE	transcriptomic	gene
COPS7A	transcriptomic	gene
COQ4	transcriptomic	gene
CORO7	transcriptomic	gene
COTL1	transcriptomic	gene
COX6A2	transcriptomic	gene
CPA3	transcriptomic	gene
CPEB2	transcriptomic	gene
CPLANE1	transcriptomic	gene
CPM	transcriptomic	gene
CPNE8	transcriptomic	gene
CPSF1	transcriptomic	gene
CPTP	transcriptomic	gene
CRADD	transcriptomic	gene
CRADDAS1	transcriptomic	gene
CRAMP1	transcriptomic	gene
CRB3	transcriptomic	gene
CRCP	transcriptomic	gene
CREBZF	transcriptomic	gene
CRELD1	transcriptomic	gene
CRIP1	transcriptomic	gene
CRTC2	transcriptomic	gene
CRYAA	transcriptomic	gene
CRYBB3	transcriptomic	gene
CRYZL2P	transcriptomic	gene
CSGALNACT1	transcriptomic	gene
CSK	transcriptomic	gene
CSNK1E	transcriptomic	gene
CSNK1G2	transcriptomic	gene
CSPP1	transcriptomic	gene
CSRNP1	transcriptomic	gene
CSRP2	transcriptomic	gene
CST3	transcriptomic	gene
CST6	transcriptomic	gene
CST7	transcriptomic	gene
CSTA	transcriptomic	gene
CSTPP1	transcriptomic	gene
CT45A1	transcriptomic	gene
CTDNEP1	transcriptomic	gene
CTDSP1	transcriptomic	gene
CTPS1	transcriptomic	gene
CTSD	transcriptomic	gene
CTSG	transcriptomic	gene
CTSS	transcriptomic	gene
CTSV	transcriptomic	gene
CTTNBP2	transcriptomic	gene
CTXN1	transcriptomic	gene
CUEDC1	transcriptomic	gene
CUEDC2	transcriptomic	gene
CUL7	transcriptomic	gene
CWF19L2	transcriptomic	gene
CX3CL1	transcriptomic	gene
CXCL10	transcriptomic	gene
CXCL16	transcriptomic	gene
CXCL6	transcriptomic	gene
CXCL9	transcriptomic	gene
CXCR6	transcriptomic	gene
CXXC1	transcriptomic	gene
CYB561D2	transcriptomic	gene
CYB5R3	transcriptomic	gene
CYBA	transcriptomic	gene
CYBB	transcriptomic	gene
CYFIP2	transcriptomic	gene
CYGB	transcriptomic	gene
CYP17A1	transcriptomic	gene
CYP27B1	transcriptomic	gene
CYP2B6	transcriptomic	gene
CYP2R1	transcriptomic	gene
CYP3A5	transcriptomic	gene
CYP4A11	transcriptomic	gene
CYP4A22	transcriptomic	gene
CYP4A22AS1	transcriptomic	gene
CYP4F3	transcriptomic	gene
CYP4X1	transcriptomic	gene
CYP4Z1	transcriptomic	gene
CYP8B1	transcriptomic	gene
CYS1	transcriptomic	gene
CYTH4	transcriptomic	gene
CYTOR	transcriptomic	gene
DANT2	transcriptomic	gene
DBNDD2	transcriptomic	gene
DBP	transcriptomic	gene
DBR1	transcriptomic	gene
DCAF15	transcriptomic	gene
DCAKD	transcriptomic	gene
DCTPP1	transcriptomic	gene
DDA1	transcriptomic	gene
DDAH2	transcriptomic	gene
DDR1	transcriptomic	gene
DDX17	transcriptomic	gene
DDX5	transcriptomic	gene
DDX54	transcriptomic	gene
DEDD2	transcriptomic	gene
DEF8	transcriptomic	gene
DEFA1B	transcriptomic	gene
DENND1C	transcriptomic	gene
DENND6B	transcriptomic	gene
DEPDC1B	transcriptomic	gene
DEPDC7	transcriptomic	gene
DGCR6L	transcriptomic	gene
DGKG	transcriptomic	gene
DGKH	transcriptomic	gene
DHCR24	transcriptomic	gene
DHDH	transcriptomic	gene
DHRS4	transcriptomic	gene
DHRS4AS1	transcriptomic	gene
DHX35	transcriptomic	gene
DIAPH1AS1	transcriptomic	gene
DICER1	transcriptomic	gene
DIXDC1	transcriptomic	gene
DLG2	transcriptomic	gene
DMRTB1	transcriptomic	gene
DMTF1	transcriptomic	gene
DMXL1	transcriptomic	gene
DNAAF5	transcriptomic	gene
DNAH11	transcriptomic	gene
DNAH5	transcriptomic	gene
DNAH6	transcriptomic	gene
DNAH7	transcriptomic	gene
DNAJA4	transcriptomic	gene
DNAJB1	transcriptomic	gene
DNAJB3	transcriptomic	gene
DNAJB5	transcriptomic	gene
DNAJC14	transcriptomic	gene
DNAJC2	transcriptomic	gene
DNAJC22	transcriptomic	gene
DNAJC30	transcriptomic	gene
DNAJC4	transcriptomic	gene
DNAL4	transcriptomic	gene
DNASE1L1	transcriptomic	gene
DNASE2	transcriptomic	gene
DNER	transcriptomic	gene
DNHD1	transcriptomic	gene
DOCK10	transcriptomic	gene
DOCK11	transcriptomic	gene
DOCK4	transcriptomic	gene
DOCK4AS1	transcriptomic	gene
DOCK5	transcriptomic	gene
DOCK7	transcriptomic	gene
DOCK8AS1	transcriptomic	gene
DOLK	transcriptomic	gene
DOLPP1	transcriptomic	gene
DOP1A	transcriptomic	gene
DPH6	transcriptomic	gene
DPM2	transcriptomic	gene
DPM3	transcriptomic	gene
DPP3DT	transcriptomic	gene
DPP6	transcriptomic	gene
DPP7	transcriptomic	gene
DPP9	transcriptomic	gene
DPPA2	transcriptomic	gene
DPY19L2	transcriptomic	gene
DRAM1	transcriptomic	gene
DRAP1	transcriptomic	gene
DSPAS1	transcriptomic	gene
DST	transcriptomic	gene
DSTNP2	transcriptomic	gene
DTX3L	transcriptomic	gene
DTX4	transcriptomic	gene
DTYMK	transcriptomic	gene
DUS1L	transcriptomic	gene
DUS2	transcriptomic	gene
DUSP1	transcriptomic	gene
DUSP18	transcriptomic	gene
DUSP19	transcriptomic	gene
DUSP23	transcriptomic	gene
DUSP6	transcriptomic	gene
DYNC2H1	transcriptomic	gene
DYNC2I2	transcriptomic	gene
DYRK1B	transcriptomic	gene
DZIP3	transcriptomic	gene
E2F4	transcriptomic	gene
E4F1	transcriptomic	gene
EBLN2	transcriptomic	gene
ECI1	transcriptomic	gene
ECSIT	transcriptomic	gene
ECT2	transcriptomic	gene
EEF1DP3	transcriptomic	gene
EEF2KMT	transcriptomic	gene
EFEMP2	transcriptomic	gene
EFHD2	transcriptomic	gene
EFNB1	transcriptomic	gene
EFNB2	transcriptomic	gene
EGF	transcriptomic	gene
EGFLAM	transcriptomic	gene
EGR1	transcriptomic	gene
EHD2	transcriptomic	gene
EHMT2	transcriptomic	gene
EIF2AK3	transcriptomic	gene
EIF3G	transcriptomic	gene
EIF4E3	transcriptomic	gene
EIF4EBP1	transcriptomic	gene
ELK3	transcriptomic	gene
ELL2	transcriptomic	gene
ELMO3	transcriptomic	gene
ELOB	transcriptomic	gene
ELOF1	transcriptomic	gene
EMC10	transcriptomic	gene
EMC6	transcriptomic	gene
EMD	transcriptomic	gene
EML6	transcriptomic	gene
EMP3	transcriptomic	gene
ENAH	transcriptomic	gene
ENDOG	transcriptomic	gene
ENG	transcriptomic	gene
ENPP6	transcriptomic	gene
ENPP7	transcriptomic	gene
ENTPD2	transcriptomic	gene
ENTREP3	transcriptomic	gene
EPB41L5	transcriptomic	gene
EPCAMDT	transcriptomic	gene
EPHB4	transcriptomic	gene
EPN1	transcriptomic	gene
EPN3	transcriptomic	gene
ERBB4	transcriptomic	gene
ERCC1	transcriptomic	gene
ERF	transcriptomic	gene
ERRFI1	transcriptomic	gene
ERVK131	transcriptomic	gene
ESM1	transcriptomic	gene
ESRRA	transcriptomic	gene
ESRRG	transcriptomic	gene
ESYT1	transcriptomic	gene
ESYT3	transcriptomic	gene
ETHE1	transcriptomic	gene
ETNK2	transcriptomic	gene
ETNPPL	transcriptomic	gene
ETS2	transcriptomic	gene
EVA1A	transcriptomic	gene
EVA1AAS	transcriptomic	gene
EVA1B	transcriptomic	gene
EVA1C	transcriptomic	gene
EVI2B	transcriptomic	gene
EXOSC4	transcriptomic	gene
EXOSC5	transcriptomic	gene
EYA2AS1	transcriptomic	gene
F11	transcriptomic	gene
F12	transcriptomic	gene
F2RL1	transcriptomic	gene
F2RL2	transcriptomic	gene
F3	transcriptomic	gene
FAAP20	transcriptomic	gene
FAM107B	transcriptomic	gene
FAM110C	transcriptomic	gene
FAM117A	transcriptomic	gene
FAM138E	transcriptomic	gene
FAM13AAS1	transcriptomic	gene
FAM168B	transcriptomic	gene
FAM174C	transcriptomic	gene
FAM199X	transcriptomic	gene
FAM239B	transcriptomic	gene
FAM245B	transcriptomic	gene
FAM47C	transcriptomic	gene
FAM47E	transcriptomic	gene
FAM83H	transcriptomic	gene
FAM86B3P	transcriptomic	gene
FAM89B	transcriptomic	gene
FAM91A1	transcriptomic	gene
FANCF	transcriptomic	gene
FARSA	transcriptomic	gene
FASTKD2	transcriptomic	gene
FBLN1	transcriptomic	gene
FBXL12	transcriptomic	gene
FBXO17	transcriptomic	gene
FBXO21	transcriptomic	gene
FBXO38	transcriptomic	gene
FBXO46	transcriptomic	gene
FBXO9	transcriptomic	gene
FBXW11	transcriptomic	gene
FBXW4	transcriptomic	gene
FBXW5	transcriptomic	gene
FBXW7	transcriptomic	gene
FCER1A	transcriptomic	gene
FCER1G	transcriptomic	gene
FCGRT	transcriptomic	gene
FCMR	transcriptomic	gene
FCN1	transcriptomic	gene
FDX2	transcriptomic	gene
FER	transcriptomic	gene
FERMT2	transcriptomic	gene
FGA	transcriptomic	gene
FGD4	transcriptomic	gene
FGF11	transcriptomic	gene
FGGY	transcriptomic	gene
FHL3	transcriptomic	gene
FIBP	transcriptomic	gene
FILIP1	transcriptomic	gene
FILIP1L	transcriptomic	gene
FITM2	transcriptomic	gene
FIZ1	transcriptomic	gene
FJX1	transcriptomic	gene
FKBP10	transcriptomic	gene
FKBP11	transcriptomic	gene
FKBP5	transcriptomic	gene
FKBP8	transcriptomic	gene
FLACC1	transcriptomic	gene
FLJ42393	transcriptomic	gene
FLOT2	transcriptomic	gene
FLRT3	transcriptomic	gene
FLYWCH2	transcriptomic	gene
FMO3	transcriptomic	gene
FN1	transcriptomic	gene
FNBP4	transcriptomic	gene
FNDC9	transcriptomic	gene
FOS	transcriptomic	gene
FOSB	transcriptomic	gene
FOXCUT	transcriptomic	gene
FOXK1	transcriptomic	gene
FOXO3	transcriptomic	gene
FOXO4	transcriptomic	gene
FOXP4	transcriptomic	gene
FPR3	transcriptomic	gene
FRAS1	transcriptomic	gene
FRAT2	transcriptomic	gene
FREM1	transcriptomic	gene
FRMD3	transcriptomic	gene
FRY	transcriptomic	gene
FRZB	transcriptomic	gene
FSCN1	transcriptomic	gene
FSIP2	transcriptomic	gene
FTH1P3	transcriptomic	gene
FTX	transcriptomic	gene
FUOM	transcriptomic	gene
FURIN	transcriptomic	gene
FUT6	transcriptomic	gene
FXR1	transcriptomic	gene
FXYD1	transcriptomic	gene
FXYD5	transcriptomic	gene
FZD1	transcriptomic	gene
FZD8	transcriptomic	gene
G6PC1	transcriptomic	gene
G6PC3	transcriptomic	gene
GAA	transcriptomic	gene
GABARAPL1	transcriptomic	gene
GAD1	transcriptomic	gene
GADD45A	transcriptomic	gene
GADD45B	transcriptomic	gene
GAL3ST1	transcriptomic	gene
GALK1	transcriptomic	gene
GALNS	transcriptomic	gene
GANC	transcriptomic	gene
GAPT	transcriptomic	gene
GARIN6	transcriptomic	gene
GAS5AS1	transcriptomic	gene
GATA3	transcriptomic	gene
GATA5	transcriptomic	gene
GATAD2A	transcriptomic	gene
GATD1	transcriptomic	gene
GATD3	transcriptomic	gene
GBP2	transcriptomic	gene
GCDH	transcriptomic	gene
GCLC	transcriptomic	gene
GCNT3	transcriptomic	gene
GCSAM	transcriptomic	gene
GDAP2	transcriptomic	gene
GDPD3	transcriptomic	gene
GEMIN4	transcriptomic	gene
GEMIN7	transcriptomic	gene
GET3	transcriptomic	gene
GET4	transcriptomic	gene
GFER	transcriptomic	gene
GFUS	transcriptomic	gene
GGA3	transcriptomic	gene
GGACT	transcriptomic	gene
GGT5	transcriptomic	gene
GGTLC2	transcriptomic	gene
GHDC	transcriptomic	gene
GIMAP4	transcriptomic	gene
GIPC1	transcriptomic	gene
GIPC3	transcriptomic	gene
GJB1	transcriptomic	gene
GLE1	transcriptomic	gene
GLIPR2	transcriptomic	gene
GLIS1	transcriptomic	gene
GLIS2	transcriptomic	gene
GLIS3	transcriptomic	gene
