gene_id	gene_symbol	tissue	score	source
ENSG00000007923.15	DNAJC11	Liver	0.00015934495959166314	GTEx
ENSG00000228750.6	LINC01672	Liver	0.0	GTEx
ENSG00000237436.1	RP11-312B8.1	Liver	1.787324542747767e-06	GTEx
ENSG00000171735.18	CAMTA1	Liver	4.8396427052318166e-05	GTEx
ENSG00000227950.1	RP11-312B8.2	Liver	0.0	GTEx
ENSG00000237365.1	RP11-334N17.1	Liver	0.0	GTEx
ENSG00000207056.1	RNU1-8P	Liver	0.0	GTEx
ENSG00000237402.1	CAMTA1-IT1	Liver	0.0	GTEx
ENSG00000237728.2	RP3-453P22.2	Liver	0.0	GTEx
ENSG00000225126.1	RP4-549F15.1	Liver	0.0	GTEx
ENSG00000270171.1	RP11-338N10.1	Liver	0.0	GTEx
ENSG00000270035.1	RP11-338N10.2	Liver	0.0	GTEx
ENSG00000269978.1	RP11-338N10.3	Liver	1.6173543173117824e-06	GTEx
ENSG00000049245.12	VAMP3	Liver	0.00033883453849425775	GTEx
ENSG00000269925.1	RP3-467L1.6	Liver	2.4117396852403234e-05	GTEx
ENSG00000049246.14	PER3	Liver	0.00014396427052318163	GTEx
ENSG00000236266.1	RP3-467L1.4	Liver	1.212760527435134e-05	GTEx
ENSG00000049247.13	UTS2	Liver	6.333475116971502e-07	GTEx
ENSG00000049249.8	TNFRSF9	Liver	6.421948107188431e-07	GTEx
ENSG00000270330.1	RP5-892F13.2	Liver	0.0	GTEx
ENSG00000116288.12	PARK7	Liver	0.001885155253083794	GTEx
ENSG00000200344.1	Y_RNA	Liver	0.0	GTEx
ENSG00000116285.12	ERRFI1	Liver	0.0037447894512973204	GTEx
ENSG00000238290.1	RP11-431K24.1	Liver	4.19140791152701e-06	GTEx
ENSG00000232848.1	CTA-215D11.4	Liver	0.0	GTEx
ENSG00000229305.1	RP11-431K24.2	Liver	0.0	GTEx
ENSG00000227634.2	LINC01714	Liver	1.1995746490854954e-05	GTEx
ENSG00000200975.1	RNU1-7P	Liver	0.0	GTEx
ENSG00000233645.1	RP11-431K24.4	Liver	0.0	GTEx
ENSG00000251977.1	RNU6-991P	Liver	0.0	GTEx
ENSG00000162426.14	SLC45A1	Liver	3.660569970225436e-06	GTEx
ENSG00000252254.1	Y_RNA	Liver	0.0	GTEx
ENSG00000142599.17	RERE	Liver	0.00019583156103785622	GTEx
ENSG00000232912.5	RP5-1115A15.1	Liver	5.605274351339856e-06	GTEx
ENSG00000221083.1	SNORA77	Liver	0.0	GTEx
ENSG00000270282.1	RP5-1115A15.2	Liver	0.0	GTEx
ENSG00000234619.1	RPL7P11	Liver	0.0	GTEx
ENSG00000224315.2	RPL7P7	Liver	0.0	GTEx
ENSG00000222511.2	Y_RNA	Liver	0.0	GTEx
ENSG00000226545.1	RP4-633I8.3	Liver	0.0	GTEx
ENSG00000228423.2	RP4-633I8.4	Liver	0.0	GTEx
ENSG00000229716.2	RPL23AP19	Liver	0.0	GTEx
ENSG00000074800.13	ENO1	Liver	0.0046380263717567	GTEx
ENSG00000274258.1	MIR6728	Liver	0.0	GTEx
ENSG00000236269.1	ENO1-IT1	Liver	1.680476393024245e-06	GTEx
ENSG00000230679.1	ENO1-AS1	Liver	3.8162484049340705e-06	GTEx
ENSG00000201725.1	RNU6-304P	Liver	0.0	GTEx
ENSG00000238249.2	HMGN2P17	Liver	0.0	GTEx
ENSG00000232208.2	RP3-477M7.5	Liver	0.0	GTEx
ENSG00000232663.2	RP3-477M7.6	Liver	0.0	GTEx
ENSG00000131686.14	CA6	Liver	0.0	GTEx
ENSG00000265141.2	RN7SL451P	Liver	0.0	GTEx
ENSG00000197241.3	SLC2A7	Liver	0.0	GTEx
ENSG00000142583.17	SLC2A5	Liver	2.1327094853253936e-06	GTEx
ENSG00000252404.1	SCARNA16	Liver	0.0	GTEx
ENSG00000180758.11	GPR157	Liver	7.373032752020417e-05	GTEx
ENSG00000228526.6	MIR34AHG	Liver	4.0340280731603576e-05	GTEx
ENSG00000234546.3	LINC01759	Liver	6.17524457677584e-06	GTEx
ENSG00000281937.1	RP3-510D11.4	Liver	1.922586133560187e-07	GTEx
ENSG00000049239.12	H6PD	Liver	0.0011639302424500213	GTEx
ENSG00000171621.13	SPSB1	Liver	0.00034419396001701403	GTEx
ENSG00000252956.1	RNA5SP40	Liver	0.0	GTEx
ENSG00000235263.1	RP13-392I16.1	Liver	9.353466609953211e-06	GTEx
ENSG00000171612.6	SLC25A33	Liver	0.0001218290089323692	GTEx
ENSG00000231181.1	RP13-15M17.1	Liver	1.706507868991918e-05	GTEx
ENSG00000188807.12	TMEM201	Liver	2.21522756273926e-05	GTEx
ENSG00000171608.15	PIK3CD	Liver	3.652062951935347e-05	GTEx
ENSG00000179840.5	PIK3CD-AS1	Liver	0.0	GTEx
ENSG00000233268.3	RP11-558F24.2	Liver	0.0	GTEx
ENSG00000231789.2	PIK3CD-AS2	Liver	2.743513398553807e-06	GTEx
ENSG00000171603.16	CLSTN1	Liver	9.321990642279881e-05	GTEx
ENSG00000271264.1	MZT1P1	Liver	0.0	GTEx
ENSG00000280113.2	RP11-84A14.7	Liver	0.0	GTEx
ENSG00000178585.14	CTNNBIP1	Liver	0.00011326244151424926	GTEx
ENSG00000162441.11	LZIC	Liver	9.956614206720545e-05	GTEx
ENSG00000228150.1	RP11-84A14.4	Liver	3.5516801361122926e-06	GTEx
ENSG00000173614.13	NMNAT1	Liver	5.266695023394301e-05	GTEx
ENSG00000202415.1	RN7SKP269	Liver	1.5458953636750318e-06	GTEx
