id	kind	layer	name
Q13315	Gene	transcriptomic	Q13315
Q7LG56	Gene	transcriptomic	Q7LG56
P23025	Gene	transcriptomic	P23025
P62805	Gene	transcriptomic	P62805
P33991	Gene	transcriptomic	P33991
P49736	Gene	transcriptomic	P49736
P25205	Gene	transcriptomic	P25205
Q9BXL8	Gene	transcriptomic	Q9BXL8
Q01094	Gene	transcriptomic	Q01094
P61073	Gene	transcriptomic	P61073
P08069	Gene	transcriptomic	P08069
P50281	Gene	transcriptomic	P50281
P08253	Gene	transcriptomic	P08253
P16581	Gene	transcriptomic	P16581
O15350	Gene	transcriptomic	O15350
P78527	Gene	transcriptomic	P78527
P00519	Gene	transcriptomic	P00519
P33993	Gene	transcriptomic	P33993
O15055	Gene	transcriptomic	O15055
Q9UJA3	Gene	transcriptomic	Q9UJA3
O15534	Gene	transcriptomic	O15534
Q49AN0	Gene	transcriptomic	Q49AN0
O00327	Gene	transcriptomic	O00327
Q16526	Gene	transcriptomic	Q16526
P03372	Gene	transcriptomic	P03372
Q9HAW4	Gene	transcriptomic	Q9HAW4
P24864	Gene	transcriptomic	P24864
Q9UNA4	Gene	transcriptomic	Q9UNA4
Q99719	Gene	transcriptomic	Q99719
Q9Y253	Gene	transcriptomic	Q9Y253
P01106	Gene	transcriptomic	P01106
P10275	Gene	transcriptomic	P10275
Q00987	Gene	transcriptomic	Q00987
O15151	Gene	transcriptomic	O15151
P60484	Gene	transcriptomic	P60484
Q16254	Gene	transcriptomic	Q16254
Q15329	Gene	transcriptomic	Q15329
Q12888	Gene	transcriptomic	Q12888
Q16777	Gene	transcriptomic	Q16777
O76064	Gene	transcriptomic	O76064
P49792	Gene	transcriptomic	P49792
O60934	Gene	transcriptomic	O60934
Q9UHX1	Gene	transcriptomic	Q9UHX1
Q13426	Gene	transcriptomic	Q13426
Q9Y6H5	Gene	transcriptomic	Q9Y6H5
P35222	Gene	transcriptomic	P35222
P05412	Gene	transcriptomic	P05412
P0DMV9	Gene	transcriptomic	P0DMV9
Q99700	Gene	transcriptomic	Q99700
P05067	Gene	transcriptomic	P05067
P37840	Gene	transcriptomic	P37840
Q96T60	Gene	transcriptomic	Q96T60
P56524	Gene	transcriptomic	P56524
Q70Z35	Gene	transcriptomic	Q70Z35
Q12931	Gene	transcriptomic	Q12931
O43464	Gene	transcriptomic	O43464
P40763	Gene	transcriptomic	P40763
Q9BXM7	Gene	transcriptomic	Q9BXM7
O60260	Gene	transcriptomic	O60260
P38936	Gene	transcriptomic	P38936
P18206	Gene	transcriptomic	P18206
P17252	Gene	transcriptomic	P17252
P04049	Gene	transcriptomic	P04049
P15056	Gene	transcriptomic	P15056
Q969H0	Gene	transcriptomic	Q969H0
Q9Y4A5	Gene	transcriptomic	Q9Y4A5
Q13526	Gene	transcriptomic	Q13526
Q05209	Gene	transcriptomic	Q05209
Q13153	Gene	transcriptomic	Q13153
O15530	Gene	transcriptomic	O15530
P49023	Gene	transcriptomic	P49023
P21333	Gene	transcriptomic	P21333
Q13177	Gene	transcriptomic	Q13177
P06396	Gene	transcriptomic	P06396
Q05397	Gene	transcriptomic	Q05397
Q9NYA1	Gene	transcriptomic	Q9NYA1
Q92900	Gene	transcriptomic	Q92900
Q9H9Q4	Gene	transcriptomic	Q9H9Q4
P63000	Gene	transcriptomic	P63000
Q96RU2	Gene	transcriptomic	Q96RU2
P45983	Gene	transcriptomic	P45983
P45985	Gene	transcriptomic	P45985
O75385	Gene	transcriptomic	O75385
O75143	Gene	transcriptomic	O75143
Q8TDY2	Gene	transcriptomic	Q8TDY2
Q9Y371	Gene	transcriptomic	Q9Y371
Q9P2Y5	Gene	transcriptomic	Q9P2Y5
Q8IYT8	Gene	transcriptomic	Q8IYT8
Q99570	Gene	transcriptomic	Q99570
Q13009	Gene	transcriptomic	Q13009
P01112	Gene	transcriptomic	P01112
O94817	Gene	transcriptomic	O94817
Q8N122	Gene	transcriptomic	Q8N122
P42345	Gene	transcriptomic	P42345
Q96B36	Gene	transcriptomic	Q96B36
Q96RR4	Gene	transcriptomic	Q96RR4
Q9BVC4	Gene	transcriptomic	Q9BVC4
Q16659	Gene	transcriptomic	Q16659
Q14457	Gene	transcriptomic	Q14457
Q07817	Gene	transcriptomic	Q07817
P21453	Gene	transcriptomic	P21453
Q92934	Gene	transcriptomic	Q92934
Q9H1Y0	Gene	transcriptomic	Q9H1Y0
Q9NT62	Gene	transcriptomic	Q9NT62
Q9P212	Gene	transcriptomic	Q9P212
Q8IW41	Gene	transcriptomic	Q8IW41
Q676U5	Gene	transcriptomic	Q676U5
Q07820	Gene	transcriptomic	Q07820
Q12852	Gene	transcriptomic	Q12852
P10415	Gene	transcriptomic	P10415
Q9GZQ8	Gene	transcriptomic	Q9GZQ8
P53355	Gene	transcriptomic	P53355
Q8NEB9	Gene	transcriptomic	Q8NEB9
P27707	Gene	transcriptomic	P27707
P55957	Gene	transcriptomic	P55957
Q14839	Gene	transcriptomic	Q14839
